round,match_id,home_team,away_team,score_final_dom,score_final_ext,nb_buts_total,nb_buts_dom,nb_buts_ext,victoire,cycle
35,73349253,Angola,DR Congo,2,1,3,2,1,dom,1
35,73349258,Botswana,Egypt,1,0,1,1,0,dom,1
35,73349247,Burkina Faso,Benin,0,0,0,0,0,nul,1
35,73349248,Gabon,Tanzania,3,0,3,3,0,dom,1
35,73349252,Ivory Coast,Cameroon,2,1,3,2,1,dom,1
35,73349254,Mali,Tunisia,0,0,0,0,0,nul,1
35,73349250,Morocco,Equatorial Guinea,0,2,2,0,2,ext,1
35,73349257,Mozambique,Nigeria,2,0,2,2,0,dom,1
35,73349256,South Africa,Algeria,0,1,1,0,1,ext,1
35,73349251,Sudan,Comoros,1,2,3,1,2,ext,1
35,73349255,Uganda,Zambia,1,1,2,1,1,nul,1
35,73349249,Zimbabwe,Senegal,0,0,0,0,0,nul,1
36,73349270,Algeria,Nigeria,0,0,0,0,0,nul,1
36,73349268,Benin,Botswana,1,0,1,1,0,dom,1
